symbol,date,marketCap
AZPN,2022-07-06,12332628360
AZPN,2022-07-05,12313936700
AZPN,2022-07-01,12326182960
AZPN,2022-06-30,9216878720
AZPN,2022-06-29,9736231370
AZPN,2022-06-28,9661464660
AZPN,2022-06-27,9874725410
AZPN,2022-06-24,9904832810
AZPN,2022-06-23,9596231960
AZPN,2022-06-22,9910352500
AZPN,2022-06-21,9922897250
AZPN,2022-06-17,9493866800
AZPN,2022-06-16,8991073220
AZPN,2022-06-15,9294656170
AZPN,2022-06-14,9248491490
AZPN,2022-06-13,9622826830
AZPN,2022-06-10,9835084000
AZPN,2022-06-09,9857664550
AZPN,2022-06-08,10367483190
AZPN,2022-06-07,10549131170
AZPN,2022-06-06,10107555970
AZPN,2022-06-03,10121104300
AZPN,2022-06-02,10208415760
AZPN,2022-06-01,10045334010
AZPN,2022-05-31,9709134710
AZPN,2022-05-27,9921893670
AZPN,2022-05-26,9566626350
AZPN,2022-05-25,9525479570
AZPN,2022-05-24,9534010000
AZPN,2022-05-23,9634368000
AZPN,2022-05-20,9735227790
AZPN,2022-05-19,9383473000
AZPN,2022-05-18,8942399590
AZPN,2022-05-17,9232936000
AZPN,2022-05-16,8344767700
AZPN,2022-05-13,8317169250
AZPN,2022-05-12,8149571390
AZPN,2022-05-11,7961400140
AZPN,2022-05-10,8004052290
AZPN,2022-05-09,8048711600
AZPN,2022-05-06,8191721750
AZPN,2022-05-05,8404982500
AZPN,2022-05-04,8531433580
AZPN,2022-05-03,8158603610
AZPN,2022-05-02,7947851809
AZPN,2022-04-29,7955378660
AZPN,2022-04-28,8135019480
AZPN,2022-04-27,7494233650
AZPN,2022-04-26,7677888790
AZPN,2022-04-25,7969930570
AZPN,2022-04-22,7873586890
AZPN,2022-04-21,8132008740
AZPN,2022-04-20,8111435350
AZPN,2022-04-19,8119965780
AZPN,2022-04-18,8080826160
AZPN,2022-04-14,8126489049
AZPN,2022-04-13,8204266500
AZPN,2022-04-12,8206775450
AZPN,2022-04-11,8185700270
AZPN,2022-04-08,8279535000
AZPN,2022-04-07,8420036200
AZPN,2022-04-06,8407491450
AZPN,2022-04-05,8344265910
AZPN,2022-04-04,8416021880
AZPN,2022-04-01,8377885840
AZPN,2022-03-31,8298101230
AZPN,2022-03-30,10552232498
AZPN,2022-03-29,10516154287
AZPN,2022-03-28,10259741287
AZPN,2022-03-25,10169545759
AZPN,2022-03-24,9877698801
AZPN,2022-03-23,9634170876
AZPN,2022-03-22,9492435047
AZPN,2022-03-21,9338458396
AZPN,2022-03-18,9415124594
AZPN,2022-03-17,9011821734
AZPN,2022-03-16,8985407330
AZPN,2022-03-15,8812747319
AZPN,2022-03-14,8847537023
AZPN,2022-03-11,8986051583
AZPN,2022-03-10,9048544199
AZPN,2022-03-09,9400951011
AZPN,2022-03-08,9218627194
AZPN,2022-03-07,9332015858
AZPN,2022-03-04,9672181849
AZPN,2022-03-03,9572966768
AZPN,2022-03-02,9454424074
AZPN,2022-03-01,9504031615
AZPN,2022-02-28,9819071708
AZPN,2022-02-25,9571034007
AZPN,2022-02-24,9242464584
AZPN,2022-02-23,9247618614
AZPN,2022-02-22,9279187049
AZPN,2022-02-18,9203809358
AZPN,2022-02-17,9085910918
AZPN,2022-02-16,9058852259
AZPN,2022-02-15,9159355848
AZPN,2022-02-14,9131652935
AZPN,2022-02-11,9016975764
AZPN,2022-02-10,9051121214
AZPN,2022-02-09,9259215182
AZPN,2022-02-08,8971233747
AZPN,2022-02-07,9218627194
AZPN,2022-02-04,9330727350
AZPN,2022-02-03,9283052571
AZPN,2022-02-02,9715991105
AZPN,2022-02-01,9709548567
AZPN,2022-01-31,9674114610
AZPN,2022-01-28,9170952415
AZPN,2022-01-27,9389998697
AZPN,2022-01-26,9322996305
AZPN,2022-01-25,9230868016
AZPN,2022-01-24,9375180861
AZPN,2022-01-21,9225713986
AZPN,2022-01-20,9547196617
AZPN,2022-01-19,9658652519
AZPN,2022-01-18,9754002077
AZPN,2022-01-14,10045204781
AZPN,2022-01-13,9709548567
AZPN,2022-01-12,9686999685
AZPN,2022-01-11,9408037803
AZPN,2022-01-10,9491146539
AZPN,2022-01-07,9498877584
AZPN,2022-01-06,9596159904
AZPN,2022-01-05,9674758864
AZPN,2022-01-04,9863525218
AZPN,2022-01-03,9813917678
AZPN,2021-12-31,5526077600
AZPN,2021-12-30,5518816000
AZPN,2021-12-29,5486501880
AZPN,2021-12-28,5518816000
AZPN,2021-12-27,5542779280
AZPN,2021-12-23,5441479960
AZPN,2021-12-22,5454550840
AZPN,2021-12-21,5411344320
AZPN,2021-12-20,5410981240
AZPN,2021-12-17,5398273440
AZPN,2021-12-16,5431313720
AZPN,2021-12-15,5447289240
AZPN,2021-12-14,5413522800
AZPN,2021-12-13,5380845600
AZPN,2021-12-10,5337276000
AZPN,2021-12-09,5337276000
AZPN,2021-12-08,5400088840
AZPN,2021-12-07,5372131680
AZPN,2021-12-06,5374310160
AZPN,2021-12-03,5503929720
AZPN,2021-12-02,5300241840
AZPN,2021-12-01,5247958320
AZPN,2021-11-30,5265749240
AZPN,2021-11-29,5304961880
AZPN,2021-11-26,5270469280
AZPN,2021-11-24,5424778280
AZPN,2021-11-23,5659691040
AZPN,2021-11-22,5624472280
AZPN,2021-11-19,5608133680
AZPN,2021-11-18,5520994480
AZPN,2021-11-17,5477787960
AZPN,2021-11-16,5514822119
AZPN,2021-11-15,5327472840
AZPN,2021-11-12,5407350440
AZPN,2021-11-11,5528256080
AZPN,2021-11-10,5645894000
AZPN,2021-11-09,5721051560
AZPN,2021-11-08,5838689480
AZPN,2021-11-05,5855391160
AZPN,2021-11-04,5810732320
AZPN,2021-11-03,5729765480
AZPN,2021-11-02,5727587000
AZPN,2021-11-01,5663684920
AZPN,2021-10-29,5689100520
AZPN,2021-10-28,5624472280
AZPN,2021-10-27,5451646200
AZPN,2021-10-26,5587438119
AZPN,2021-10-25,5623019960
AZPN,2021-10-22,5700356000
AZPN,2021-10-21,5806738440
AZPN,2021-10-20,5877902119
AZPN,2021-10-19,5934905680
AZPN,2021-10-18,5972302920
AZPN,2021-10-15,5936721080
AZPN,2021-10-14,6098291680
AZPN,2021-10-13,6027128000
AZPN,2021-10-12,5955601240
AZPN,2021-10-11,5772972000
AZPN,2021-10-08,5139397400
AZPN,2021-10-07,4997433119
AZPN,2021-10-06,4557380160
AZPN,2021-10-05,4592235840
AZPN,2021-10-04,4531964560
AZPN,2021-10-01,4531238400
AZPN,2021-09-30,4438920368
AZPN,2021-09-29,4514830244
AZPN,2021-09-28,4488804000
AZPN,2021-09-27,4519167951
AZPN,2021-09-24,4518083524
AZPN,2021-09-23,4529650743
AZPN,2021-09-22,4504708927
AZPN,2021-09-21,4429522002
AZPN,2021-09-20,4543025340
AZPN,2021-09-17,4590740120
AZPN,2021-09-16,4633032765
AZPN,2021-09-15,4665565569
AZPN,2021-09-14,4518445000
AZPN,2021-09-13,4572666340
AZPN,2021-09-10,4572304864
AZPN,2021-09-09,4627610631
AZPN,2021-09-08,4663035240
AZPN,2021-09-07,4622911448
AZPN,2021-09-03,4732438555
AZPN,2021-09-02,4732438555
AZPN,2021-09-01,4700990178
AZPN,2021-08-31,4681109020
AZPN,2021-08-30,4695568044
AZPN,2021-08-27,4720148384
AZPN,2021-08-26,4620381119
AZPN,2021-08-25,4705327885
AZPN,2021-08-24,4654359825
AZPN,2021-08-23,4639539326
AZPN,2021-08-20,4583872083
AZPN,2021-08-19,4559653218
AZPN,2021-08-18,4536518780
AZPN,2021-08-17,4573027815
AZPN,2021-08-16,4565075352
AZPN,2021-08-13,4591824546
AZPN,2021-08-12,4549893377
AZPN,2021-08-11,5158256812
AZPN,2021-08-10,5255132272
AZPN,2021-08-09,5337910185
AZPN,2021-08-06,5348754453
AZPN,2021-08-05,5296701966
AZPN,2021-08-04,5263084736
AZPN,2021-08-03,5242842102
AZPN,2021-08-02,5264892114
AZPN,2021-07-30,5286942125
AZPN,2021-07-29,5255855224
AZPN,2021-07-28,5251878992
AZPN,2021-07-27,5233082261
AZPN,2021-07-26,5288749503
AZPN,2021-07-23,5272121626
AZPN,2021-07-22,5248625712
AZPN,2021-07-21,5218984712
AZPN,2021-07-20,5206694542
AZPN,2021-07-19,5182114201
AZPN,2021-07-16,5187536335
AZPN,2021-07-15,5139821556
AZPN,2021-07-14,5170908458
AZPN,2021-07-13,5169462555
AZPN,2021-07-12,5193681420
AZPN,2021-07-09,5259108504
AZPN,2021-07-08,5231997834
AZPN,2021-07-07,5329596246
AZPN,2021-07-06,5287665076
AZPN,2021-07-02,5168739604
AZPN,2021-07-01,5108734654
AZPN,2021-06-30,9356571120
AZPN,2021-06-29,9559294560
AZPN,2021-06-28,9573580440
AZPN,2021-06-25,9588546600
AZPN,2021-06-24,9453851160
AZPN,2021-06-23,9375618960
AZPN,2021-06-22,9423918840
AZPN,2021-06-21,9417796320
AZPN,2021-06-18,9323237400
AZPN,2021-06-17,9445687800
AZPN,2021-06-16,9473579280
AZPN,2021-06-15,9455892000
AZPN,2021-06-14,9502831320
AZPN,2021-06-11,9459973680
AZPN,2021-06-10,9417116040
AZPN,2021-06-09,9402149880
AZPN,2021-06-08,9391945680
AZPN,2021-06-07,9396027360
AZPN,2021-06-04,9464055360
AZPN,2021-06-03,9225277080
AZPN,2021-06-02,9258610800
AZPN,2021-06-01,9174936360
AZPN,2021-05-28,9283781160
